Auteur(s),Titre,Edition,Date,ISBN
"De Sylvaine Jaoui, Manu Boisteau",C'Est Vraiment Comme Ca Les Filles ?,La Martinière Jeunesse,2005,9782732433431
Microsoft Office,Access 2007,Éditions ENI,2007,9782746038981
1 et 2 portions,Cuisine aux micro-ondes 1 et 2 portions,Éditions de l'Homme,1987,9782761906371
Collectif,**Boxers - (2009),Artemis,"30,5 x 30,5 cm","
Artemis
"
Collectif,"Langage et société, n° 105/sept. 2003",Maison des sciences de l'homme,2003,9782735109531
"L'Amérique du Sud ne se travers pas seul, elle se traverse au volant de Babieca",Babieca,L'Harmattan,2003,9782747519151
Bruce Lansky,Le travail  c'est la santé ! by Lansky  Bruce,Chantecler,160 g,Chantecler
De Ursula Freiss,Mon Carnet Des Neuf Mois De Recettes,Illustrations de Michel Langot,2007,9782842706531
De Louis-Joseph Le Port,Moi louis joseph le port cure france,Édité par Fañch Postic,1999,9782843980251
la recette de l'amour,2 - Darling T02 La Recette De L'Amour,Traduit par Xavière Daumarie,"
Darling
                
                (2)
              ","
Panini
"
pour une politique de l'insertion durable,Quel travail pour les exclus ? - Pour une politique de l'insertion durable,Dunod,2005,9782100494361
La Rédemption,Pour nous les hommes,Jubilé,1984,9782213013701
Griselda,"Le roi cyclope.

3 - Le Roi Cyclope T03",Delcourt,"
Le roi cyclope.
                
                (3)
              ","
Delcourt
"
manuel & applications,"Dcg

5 - Économie",Dirigé par Alain Burlaud,"
DCG
                
                (5)
              ",Sup'Foucher
Grosset Bureau Claude & Belie Michelle,L'Ecriture Poetique Au Cycle 2 De La Lec,Bordas,"20,9 x 13,6 x 1,5 cm",BORDAS
De Ernest Pépin,Coulée d'or,Gallimard Jeunesse,1995,9782070587681
Indro Montanelli,Le Général Della Rovere,Flammarion,1992,9782080504821
De leur histoire à la nôtre,Qui étaient nos ancêtres ?,J'ai Lu,2004,9782290333631
De Gérard Lecoeur,L'Arme froide,Crépin-Leblond,"21 x 13,5 x 1 cm",Crépin-Leblond
cours de physique statistique de l'École polytechnique,microscopique au macroscopique (Du) (vol - 1),Editions Ellipses,1998,9782729890001
De François Icher,Batisseurs De Cathedrales (Les),La Martinière Jeunesse,2004,9782732037851
"Theoder Hugues, Klaus Greilich, Christine Peter",Building with Large Clay Blocks - Details. Products. Examples,Birkhäuser,2005,9783764371111
Beaver Robyn,Dirk Jan Postel /anglais,Images publishing group,2008,9781864702101
De Hervé Prudon,La langue chienne,Gallimard,2008,9782070121021
n°19-20,Troubler et inquiéter : les discours du désordre international,L'Harmattan,2000,9782738442581
De Oscar Cadet,Mathieu,Zulma,2001,9782843041341
mélanges en hommage au cardinal Bernardin Gantin,Christianisme et humanisme en Afrique - mélanges en hommage au cardinal Bernardin Gantin,Karthala,2003,9782845863941
De Liliane Otal,Verrines & Cuilleres,Illustrations de Pierre Bordet,2008,9782879018591
De Rencontre annuelle des responsables d'alpages,Alpages et biodiversité,La Cardere,2004,9782914053181
roman,"DERNIERE PEUT-ETRE BERKIWICZ, Daniel",Mango,2000,9782914073011
De Jean Auroux,Isidore,Ecir,2006,9782915521061
De Agatha Christie,Meurtre au champagne,Le Livre de poche,2007,9782253017691
waquet francoise,Fetes royales sous la restauration ou l'ancien (Les),Flammarion,208,"
Flammarion
"
De Yoshiki Tanaka,T. 2 - Dragon Brothers - Tome 2 - Les 4 frères,Illustrations de Clamp,2008,9782012012981
De Jakez Riou,La herbo de la virgulino,Illustrations de Xavier Morvan,200 g,"
Emgleo Breiz
"
Hershon Ella,Chanel Chanel  Video,Phaidon,1999,9780714860411
De AGNES LORGNIER,Bout De Ficelle,Illustrations de Godeleine de Rosamel,2003,9782020525671
De Jean Rostand,La Vie des vers à soie,Gallimard,1944,9782070255511
Retouches,De laine et soie,Gallimard,1997,9782070748341
De Philon d'Alexandrie,De Iosepho,Cerf,1976,9782204037341
Europe,Guide international d'histoire urbaine,Klincksieck,1977,9782252018361
De Janet Tashjian,Felicity,Traduit par Carole d'Yvoire,219,Fleuve Noir
piettre a,Marx et marxisme,Presses universitaires de France,1973,9782130329961
Rhétorique de la décision et de la délibération,La force de la doxa,L'Harmattan,2007,9782296026131
collectif,Morale et religion,Aubier,187 g,"
Aubier
"
De Israel Mayer Kirzner,Concurrence & esprit d'entreprise,Traduit par Raoul Audouin,2005,9782717849271
