titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
Mutualiser des services RH;Méthode et témoignages;Ouvrage;BOUQUILLON Christian;Voiron;Territorial Editions;2016;978-2-8186-1034-3;;;99 p.;DOSSIER D'EXPERTS;;25 BOU;ADMINISTRATION/RESSOURCES HUMAINES/MUTUALISATION/SERVICE RH/PROJET D'ADMINISTRATION/DRH;;;;2016-09-23
Mettre en oe½uvre la Gemapi;Gestion des milieux aquatiques et prévention des inondations;Ouvrage;GRAINDORGE Joël;Voiron;Territorial Editions;2016;978-2-8186-1024-4;;;129 p.;DOSSIER D'EXPERTS;;322 GRA;INSTITUTIONS/INSTITUTIONS LOCALES/COLLECTIVITES LOCALES/COMMUNE/COMPETENCE/COMPETENCE COLLECTIVE/POLE DE COMPETENCE/GEMAPI/LOI N°2014-58/LOI DU 27 JANVIER 2014/EAU/MILIEUX AQUATIQUES /PRESERVATION DES MILIEUX AQUATIQUES/GESTION DES RISQUES/GESTION DES MILIEUX AQUATIQUES/INONDATION/RESPONSABILITE ADMINISTRATIVE/RESPONSABILITE PENALE/AMENAGEMENT HYDRAULIQUE/EAU PLUVIALE/PREVENTION DES RISQUES/PREVENTION RISQUE NATUREL/PREVENTION;;;;2016-03-05
Ecologie industrielle et territoriale COLEIT 2012;Colloque interdisciplinaire sur l'écologie industrielle et territoriale;Ouvrage;;Paris;Presses des mines;2015;978-2-356-71138-0;;;382 P.;DEVELOPPEMENT DURABLE;;327 JUN;ENVIRONNEMENT/DEVELOPPEMENT DURABLE/ECOLOGIE/ECOLOGIE INDUSTRIELLE/COLLOQUE/DEVELOPPEMENT TERRITORIAL/EIT/INNOVATION;;;;2016-04-21
Atlas de la France du futur;Notre avenir en 72 cartes;Ouvrage;SIMMAT Benoist;Paris;Autrement;2016;978-2-7467-4294-9;;;175 p.;;;1 SIM;SOCIETE/AMENAGEMENT DU TERRITOIRE/FRANCE/POPULATION/ECONOMIE/ENVIRONNEMENT/INTERNATIONAL/ATLAS;;;;2017-07-17
Introduction au droit de l'eau;;Ouvrage;DROBENKO Bernard;Paris;EDITION JOHANET;2014;979-10-910891-4-2;;;471 p.;;;322 DRO;ENVIRONNEMENT/EAU/DROIT DE L'EAU/DROIT FRANCAIS/CONSOMMATION/ASSAINISSEMENT/GESTION DE L'EAU/SAGE/SDAGE/POLICE DE L'EAU/ZONE HUMIDE/ECOSYSTEME/POLLUTION DE L'EAU/ECOLOGIE/SERVICE PUBLIC DE L'EAU/FISCALITE/CONTROLE;;;;2016-03-14
Villes en transition;L'expérience partagée des Ecocités;Ouvrage;;Paris;Parenthèses;2015;978-2-86364-238-2;;;253 p.;;;3122 HEB;AMENAGEMENT DU TERRITOIRE/URBANISME/DEVELOPPEMENT URBAIN/VILLE/ECOCITE/ECOQUARTIER/DEVELOPPEMENT DURABLE/VILLE DE DEMAIN/PROJET URBAIN/VILLE DURABLE/LILLE/METROPOLE NANTES SAINT-NAZAIRE/PLANIFICATION URBAINE/ESPACE URBAIN/ESPACE PERIURBAIN/BORDEAUX/NANTES-SAINT- NAZAIRE/RENNES/ROUEN/ENERGIE/GRENOBLE/LYON/MOBILITE/MOBILITE URBAINE/MARSEILLE/STRASBOURG/TOULOUSE;;;;2015-11-24
Remettre le poireau à l'endroit;Pour une autre politique culturelle;Ouvrage;BLAISE Jean/VIARD Jean;Paris;Editions de l'Aube;2015;978-2-8159-1171-9;;;126 p.;L'URGENCE DE COMPRENDRE;;61 BLA;CULTURE/POLITIQUE CULTURELLE/NANTES /VOYAGE A NANTES/LIEUX CULTURELS/ACTION CULTURELLE/ACTION CULTURELLE LOCALE;;;;2015-11-13
Osons !;Plaidoyer d'un homme libre;Ouvrage;HULOT Nicolas;Boulogne-Billancourt;Les liens qui libèrent;2015;979-10-209031-9-8;;;92 p.;;;326 HUL;ENVIRONNEMENT/CLIMAT/ENERGIE/GAZ A EFFET DE SERRE/COP21/MANIFESTE;;;;2015-05-11
Economie sociale et solidaire : contribuer au développement des territoires;Enjeux, initiatives et modes d'intervention;Ouvrage;CANNELLE Marion/FEDERICI Anne-Laure/GORGET Prunelle;Voiron;Territorial Editions;2015;978-2-8186-0788-6;;;182 p.;DOSSIER D'EXPERTS;;41 CAN;ECONOMIE/ECONOMIE SOCIALE/ECONOMIE SOCIALE ET SOLIDAIRE;;;;2015-07-21
Réconcilions économie et écologie;Pour une nouvelle économie verte en faveur de la croissance;Rapport;;Paris;La Documentation française;2015;978-2-11-009970-9;;;289 p.;;;327 FON;ENVIRONNEMENT/ECONOMIE/ECOLOGIE/ECONOMIE VERTE/CROISSANCE ECONOMIQUE /CROISSANCE VERTE/CROISSANCE DURABLE/ECO-INNOVATION/DEVELOPPEMENT DURABLE;;;;2015-07-21
Le partage, une nouvelle économie ?;;Dossier;Collectif;Paris;ESPRIT;2015;978-2-372-34004-5;;;P.5-74;;;143 COL;ECONOMIE/ECONOMIE COLLABORATIVE/PARTAGE/CONSOMMATION/PLATE-FORME WEB/CONSOMMATION COLLABORATIVE/ECHANGE SOCIAL/DEMARCHANDISATION/DON/ECHANGE/CAPITALISME;;N°416;juil-15;2015-07-13
Poule D;;Ouvrage;BENAHMED DAHO Yamina;Paris;Gallimard;2014;978-2-07-014699-4;;;126 p.;ARBALETE (L');;615 BEN;CULTURE/LITTERATURE/PRIX LITTERAIRE/ROMAN;;;;2015-10-07
France, portrait social;Edition 2014;Ouvrage;;Paris;INSEE;2014;;;Français;276 p.;;;14 INS;SOCIETE/FRANCE/SOCIAL/POPULATION/MARCHE DU TRAVAIL/REVENUS/CONDITION DE VIE/EMPLOI/SALAIRE/PROTECTION SOCIALE;;;;2015-06-07
Décrochages, racrochages;;Revue;Collectif;Paris;AFAE;2013;;0222-674X;;155 p.;ADMINISTRATION & EDUCATION;N°137;511 COL;EDUCATION/ECHEC SCOLAIRE/DECROCHAGE SCOLAIRE/LUTTE CONTRE LE DECROCHAGE SCOLAIRE/ABSENTEISME/ABSENTEISME SCOLAIRE;;N°1;mars-13;2015-03-31
2015, année de la déflation ?;;Dossier;Collectif;Paris;Problèmes Economiques;2015;;0032-9304;;p.5-42;PROBLEMES ECONOMIQUES;;41 COL;ECONOMIE/INFLATION/DEFLATION/PRIX/CONSOMMATION/PAYS RICHES/BCE/ZONE EURO/CRISE/CRISE ECONOMIQUE/EUROPE/TAUX D'INFLATION/PIB;;;;2015-12-03
Les emplois de demain;Ecolos, collaboratifs, solidaires, innovants;Revue;Collectif;Nantes;Terraeco;2015;;2264-3109;;122 p.;TERRAECO;Hors-série;141 COL;TRAVAIL/METIER/METIER DE DEMAIN;;;;2015-02-26
La petite communiste qui ne souriait jamais;;Ouvrage;LAFON Lola;Arles;Actes Sud;2014;978-2-330-02728-5;;;317 p.;;;615 LAF;CULTURE /LITTERATURE/LIVRE/ROMAN/PRIX LITTERAIRE;;;;2014-09-23
Les grandes dates de l'histoire économique et sociale de la France;;Revue;Collectif;Paris;Alternatives Economiques;2014;2-352-40099-6;;;192 P.;ALTERNATIVES ECONOMIQUES POCHE;N°69;41 COL;ECONOMIE/ECONOMIE GENERALE/ECONOMIE FRANCAISE/HISTOIRE/HISTOIRE ECONOMIQUE/CONCOURS/CONCOURS ADMINISTRATIF;;;;2014-09-16
France changer de modèle;;Dossier;Collectif;Paris;La Documentation française;2014;;0032-9304;;P.5-48;PROBLEMES ECONOMIQUES;N°3091;4111 COL;ECONOMIE/ECONOMIE FRANCAISE/PRODUCTIVITE/GAIN DE PRODUCTIVITE /CROISSANCE/CROISSANCE ECONOMIQUE/CROISSANCE INDUSTRIELLE/ECHANGE COMMERCIAL/EXPORTATION/ENTREPRISE/COMMERCE MONDIAL/INDUSTRIE/DESINDUSTRIALISATION/POLITIQUE INDUSTRIELLE/MARCHE DU TRAVAIL/COMPETITIVITE/MONDIALISATION/DELOCALISATION;;;juin-14;2014-01-08
700 tests psychotechniques et de raisonnement logique;Méthode et exercicesConcours 2014/2015;Ouvrage;KERDRAON Emmanuel;Paris;Vuibert;2014;978-2-311-20050-8;;;182 P.;ADMIS;;25 KER;ADMINISTRATION/CONCOURS/CONCOURS ADMINISTRATIF/FONCTION PUBLIQUE/;;;;2018-09-25
Les départements face au défi littoral : agir, animer, accompagner;Rapport final de la Mission Mer et Littoral;Ouvrage format pdf;GROSVALET Philippe;;;2014;;;;202 p.;;;315 gro;ENVIRONNEMENT/ESPACE NATUREL/MER/LITTORAL/ZONE COTIERE/ECOLOGIE;;;;2014-06-27
Consommer autrement;;Revue;Collectif;Paris;Alternatives Economiques;2014;;;;108 p.;ALTERNATIVES ECONOMIQUES POCHE;N°68;143 COL;SOCIETE/SCIENCES HUMAINES/VIE SOCIALE/MODE DE VIE/CONSOMMATION/CONSOMMATION CITOYENNE/BIO/AGRICULTURE BIOLOGIQUE/CIRCUIT COURT/COMMERCE EQUITABLE/GASPILLAGE/TEXTILE /RECYCLAGE/HABITAT DURABLE/DEVELOPPEMENT DURABLE/ECOLOGIE/CONSOMMATEUR;;;;2014-06-06
La disparition de Jim SULLIVAN;;Ouvrage;VIEL Tanguy;Paris;Les Editions de Minuit;2013;978-2-7073-2294-4;;Français;153 p.;;;;LITTERATURE/LIVRE/ROMAN/PRIX LITTERAIRE;;;;2014-12-06
Le droit d'auteur et de l'édition;;Ouvrage;PIERRAT Emmanuel;Paris;Cercle de la Librairie;2013;978-2-7654-1385-1;;Français;497 P.;;;71 PIE;INFORMATION/COMMUNICATION/AUTEUR/DROIT D'AUTEUR/DROITS D'AUTEUR/EDITION/OEUVRE/IMAGE/DROIT A L'IMAGE/PROTECTION DES DROITS/BASE DE DONNEES/EDITEUR/DROIT DE LA PROPRIETE LITTERAIRE/REGIME PATRIMONIAL/SUCCESSION/DROITS DE SUCCESSION/AUDIOVISUEL/DROIT INTERNATIONAL/CONTREFACON;;;;2014-01-30
Economie de l'environnement et développement durable;;Ouvrage;TIENTEBERG Tom/LEWIS Lynne/NACCACHE Philippe/GALLO Jérôme/MAULEON Fabrice;Montreuil;Pearson;2013;978-2-7440-7638-1;;Français;390 p.;;;32 TIE;ENVIRONNEMENT /ECONOMIE/DEVELOPPEMENT DURABLE/RESSOURCES NATURELLES/ENERGIE/EAU/DECHET/POLLUTION/CHANGEMENT CLIMATIQUE/PROSPECTIVE/AIR/TRANSITION ENERGETIQUE;;;;2013-11-27
Territoires et innovation;;Revue;DESFORGES Marc/GILLI Frédéric/CORDOBA Vanessa;Paris;La Documentation française;2013;978-2-11-009230-4;;Français;107 P.;TRAVAUX;N°17;442 DES;RECHERCHE/INNOVATION/POLITIQUE DE LA RECHERCHE/CLUSTER/TERRITOIRE/POLITIQUE PUBLIQUE;;;;2013-11-15
Le bilan de l'économie française 2013;;Dossier;Collectif;Paris;La Documentation française;2013;;0032-9304;;P.5-48;PROBLEMES ECONOMIQUES;N°3074;4111 COL;ECONOMIE/ECONOMIE GENERALE/FRANCE/CONJONCTURE ECONOMIQUE/CROISSANCE/CROISSANCE ECONOMIQUE/CHOMAGE/COMMERCE EXTERIEUR/FECONDITE/FINANCES PUBLIQUES/DEFICIT/DEFICIT EXTERIEUR/DEFICIT COMMERCIAL/PIB/POUVOIR D'ACHAT/PIB/MENAGE/REVENU/POPULATION/MARCHE DU TRAVAIL/TRANSACTION/CONJONCTURE ECONOMIQUE/ECHANGE/ECHANGE COMMERCIAL;;;;2014-10-28
